ID,title,date,outlet,location,company,article_type,project_stage,primary_conflict_frame,secondary_conflict_frame,actors_present,actors_quoted,benefits_emphasized,risks_emphasized,governance_issue,transparency_issue,energy_issue,water_issue,land_use_issue,tone,evidence_type,notable_quote,memo,source_file
32,Proposed transmission line for a Wisconsin data center meets public opposition,2025-10-23,Wisconsin Public Radio,Port Washington / Ozaukee County,Vantage; OpenAI; Oracle; ATC,News,conflict,infrastructure conflict,land use conflict,residents; PSC; ATC; mayor,Beth Csaszar; Tom Uttech; Ted Neitzke; Tom Content,none emphasized,lower property values; wildlife disruption; transmission corridors,0,0,1,0,1,negative,news report,“Nobody had any idea the implications for the neighboring communities.”,Captures spillover conflict from grid infrastructure.,33. Proposed transmission line for a Wisconsin.docx
33,AI data centers in Wisconsin will use more energy than all homes in state combined,2025-09-16,Clean Wisconsin,Wisconsin,Microsoft; Vantage,Press release,policy debate,energy demand,transparency claims,Clean Wisconsin; utilities; developers,Paul Mathewson; Sara Walling,community protections if transparent,massive energy demand; unknown water impact,1,1,1,1,0,negative,analysis / press release,“Communities need to know what the on-site demand will be...”,High-profile quantification of energy demand used by opponents.,34. AI data centers in WIs will use.docx
34,Data Centers Can Drive Affordability,2026-01-06,Newsweek,U.S.,Multiple,Opinion,policy debate,economic opportunity,grid modernization,former governors; utilities; policymakers,Doug Ducey; Jennifer Granholm,affordability; modernization; economic growth,higher costs if policies are poor,0,0,1,0,0,positive,opinion,"“Done right, data centers can share in grid costs and actually help lower rates.”",Pro-data-center/opportunity framing.,35. Data Centers Can Drive Affordability.docx
35,Wisconsin cities regulating data centers as lawmakers consider statewide rules,2026-01-07,Wisconsin Public Radio,Wisconsin,Balloonist; QTS,News,policy debate,governance,local regulation,city councils; lawmakers; residents,Matthew Crowe; Cody Gentz,responsible development,light/noise pollution; water usage; opaque development,1,0,0,1,1,mixed,news report,"“Menomonie is open for business, but we want responsible and transparent development.”",Links local zoning with state-level bills.,36. Wisconsin cities regulating data centers as lawmakers consider statewide rules.docx
36,Electricity demand in Wisconsin was declining until data centers arrived,2026-01-07,Milwaukee Journal Sentinel,Wisconsin,Multiple,News,policy debate,energy demand,water use,Wisconsin Policy Forum; utilities; policymakers,Tyler Byrnes,new utility sales; possible help for fixed costs,higher peak demand; uncertain bill allocation; transparency gaps,1,1,1,1,1,mixed,policy forum coverage,“Utilities must now figure out how to generate gigawatts of additional energy.”,Nonpartisan report framed as major shift in utility landscape.,37. Electricity Demand Rising After DCs Arrive (WI Policy Forum.docx
37,Michigan passes tax breaks to attract data center jobs,2025-04-23,Axios,Michigan,Google; Amazon; data center industry,News,policy debate,economic incentives,transparency claims,state government; environmental council; developers,Charlotte Jameson,jobs; tax incentives,environmental impacts; corporate giveaways,1,1,0,0,0,mixed,news report,“We are at a really pivotal moment right now.”,Early-stage state incentive debate with cautionary tone.,38. Michigan passes tax breaks to attract data center jobs.docx
38,Indiana is getting $15 billion in Big Tech investment. Residents don't want to foot the energy bill.,2025-03-04,Business Insider / Reuters Connect,Indiana,Amazon; Microsoft; Google,News,policy debate,energy pricing,economic development,lawmakers; utilities; consumer advocates; trade groups,Ed Soliday; Ben Inskeep,investment; jobs,higher bills; cost shifting; fossil-fuel dependence,0,0,1,0,0,conflict,reported feature,“Grandma down the street shouldn't have to pay for your dreams.”,Strong cost-allocation frame in Indiana politics.,39. Indiana is getting $15 billion in Big Tech investment.docx
39,Data center boom follows decades of declining electricity and water use in Wisconsin,2026-01-07,Wisconsin Public Radio,Wisconsin,Multiple,News,policy debate,energy demand,water use,Wisconsin Policy Forum; local governments; utilities,Tyler Byrnes,possible help for water-utility fixed costs,expensive utility upgrades; fairness in cost distribution,1,0,1,1,0,mixed,policy forum coverage,“A drop in the bucket”,Counterbalances alarmism with system-level historical context.,40. Data center boom follows decades of declining electricity and water use in Wisconsin.docx
40,How would an AI ‘bubble’ impact Wisconsin communities hosting data centers?,2026-01-09,Wisconsin Public Radio,Wisconsin,Microsoft; Meta; We Energies; Alliant,News,policy debate,economic tradeoffs,energy pricing,consumer watchdogs; tech analyst; utilities,Tom Content; Dan Gallagher,responsible long-term investment,stranded assets; exit risk; consumer exposure,0,0,1,0,0,concern,reported analysis,“We need to make sure that there are sufficient guarantees...”,Focus on downside risk if AI demand falls short.,41. How would an AI ‘bubble’ impact Wisconsin communities hosting data.docx
41,Caledonia’s Microsoft rejection – the other side of the story,2025-11-02,BizTimes,"Caledonia, WI",Microsoft,Opinion,withdrawal,land use conflict,economic tradeoffs,resident opposition group,Prescott Balch,tax revenue questioned; reuse concerns,obsolescence; low jobs; property impacts,0,0,0,0,1,negative,opinion,"“Data centers are purpose-built, not general purpose.”",Detailed anti-project argument about lifespan and fiscal concentration.,42. Caledonia’s Microsoft rejection – the other side of the story.docx
42,Stop unchecked data center development,2026-01-01,Clean Wisconsin,Wisconsin,Multiple,Action alert,policy debate,environmental conflict,transparency claims,advocates; state leaders; local leaders,none,pause for planning; safeguards,energy bills; air quality; water; land; climate,1,1,1,1,1,negative,advocacy petition,“Now is the time to stop the secrecy...”,Moratorium-oriented advocacy framing.,43. Stop unchecked data center development (Action Alert).docx
43,Republican legislators meet at UW-Green Bay to discuss future of data centers in Wisconsin,2026-01-12,FOX11 News,Wisconsin / Green Bay,Wisconsin Legislature,News,policy debate,regulation,energy pricing,Republican and Democratic lawmakers; advocacy groups,Shae Sortwell; Elijah Behnke; Amaad Rivera-Wagner,responsible development; ratepayer protection,higher bills; water use; farmland loss,1,0,1,1,1,mixed,news report,“None of us want a rate increase.”,Covers GOP bill and competing views on renewable restrictions.,45. Republican legislators meet at UW.docx
44,Environmental group sues Racine to release expected water use at Microsoft data center,2025-09-15,Milwaukee Journal Sentinel,"Mount Pleasant, WIt / Racine, WI",Microsoft,News,litigation,transparency,water rights,Midwest Environmental Advocates; Milwaukee Riverkeeper; City of Racine,Cheryl Nenn,open government; environmental assessment,undisclosed water use; Great Lakes impacts,1,1,0,1,0,conflict,legal reporting,“Our ability to understand the impacts ... depends on open and transparent government.”,Records lawsuit as new phase of water-rights controversy.,46. Environmental group sues Racine to release expected water use at Microsoft data center.docx
45,Company drops Greenleaf AI data center proposal,2026-01-12,WBAY,"Greenleaf, WI",Cloverleaf Infrastructure,News,withdrawal,community opposition,land use conflict,residents; village board; developer,Bonnie Crossman; Dave Vandevoort; Julie Carter,relief for community,costs; water use; roads; property values,0,0,0,1,1,negative,public meeting coverage,“We’re not ready for this.”,Withdrawal framed as victory for organized local resistance.,47. Company drops Greenleaf AI data center proposal.docx
46,Neighbor who helped stop a data center in Caledonia now advising people nationwide,2026-01-13,Spectrum News 1,"Caledonia, WI / national",Microsoft (withdrawn),Feature,withdrawal,community activism,governance oversight,residents; community leaders nationwide,Prescott Balch; Jodi Fulton,stronger oversight; thoughtful siting,limited jobs; reuse risk; environmental impacts,1,0,0,0,0,mixed,feature,“Our country needs data centers... Wise municipal planning dictates...”,Profiles activist knowledge transfer across communities.,48. Neighbor who helped stop a data center in Caledonia now advising people na¬tionwide.docx
47,DOA opposes annexation of land where QTS DeForest data center is proposed,2026-01-31,Channel3000,"DeForest / Vienna, WI",QTS,News,annexation,governance,land use conflict,Department of Administration; village board; QTS,DOA statement,potential assessed value; jobs,service capacity; annexation not in public interest,1,0,0,0,1,conflict,government reporting,“Not in the public's best interest.”,State administrative pushback on annexation feasibility.,49. DOA opposes annexation of land where QTS DeForest data center is proposed.docx
48,Data Center Project Cancellations Quadrupled in 2025 as Locals Fight Back,2026-01-13,Gizmodo,U.S.,Multiple,News,policy debate,community opposition,energy pricing,researchers; local activists; tech firms,Peter Freed,advocacy success,water use; energy prices; air pollution,0,0,1,1,0,concern,reported synthesis,“Water use was the biggest reason for local opposition.”,National pattern piece on rising cancellations.,50. Data Center Project Cancellations Quadrupled in 2025.docx
49,Disputes over clean energy may doom Wisconsin data center bills,2026-01-16,Canary Media,Wisconsin,Wisconsin Legislature,News,policy debate,political conflict,energy policy,lawmakers; consumer advocates; clean-energy advocates,Robin Vos; Beata Wierzba; Tom Content,statewide protections; standardization,legislative deadlock; fossil-fuel reliance,1,0,1,0,0,mixed,policy reporting,"“If we could combine the two and make it a better bill, that would be ideal.”",Explains why dueling bills may both fail.,51. Disputes over clean energy may doom Wisconsin data center bills.docx
50,Data Centers Plan to Reduce Reliance on Grid Finds Bloom Energy’s 2026 Power Report,2026-01-20,Business Wire,U.S.,Bloom Energy / data center developers,Press release,industry trend,energy infrastructure,technological optimism,developers; utilities; GPU service providers,Natalie Sunderland,onsite power; faster development,grid delays; regional inequality,0,0,1,1,1,positive,press release,“One-third of data centers in 2030 will use 100% onsite power.”,Industry-forward framing of off-grid solutions; treat cautiously.,52. Data Centers Plan to Reduce Reliance on Grid Finds Bloom Energy’s 2026 Power Report.docx
51,"Data Centers Lift Construction Outlook, but Economic Worries Grow",2026-01-13,Construction trade press,U.S.,Construction sector,Industry report,construction,economic development,economic risk,contractors; AGC; Sage,Jeffrey Shoaf; Kyle Van Slyke,strong demand; ancillary growth,recession; labor shortages; overreliance on one sector,0,0,0,0,0,mixed,industry survey,“We got to make sure that we don't live and die by the data center.”,Construction-sector view of boom with caution on macro risks.,"53. Data Centers Lift Construction Outlook, but Economic Worries Grow.docx"
52,Microsoft wants to build 15 more data centers in Mount Pleasant,2026-01-20,Wisconsin Public Radio,"Mount Pleasant, WI",Microsoft,News,expansion,energy demand,water use,Microsoft; planning commission; village officials,Danielle Kaeding reporting; Brad Smith quote,tax revenue; local revenues,energy use unknown; water scrutiny; traffic,0,0,1,1,0,mixed,news report,“We want to pay a higher price so that our data center does not increase the price of electricity for consumers.”,Major expansion story with cost-allocation assurances.,54.Microsoft wants to build 15 more data centers in Mount Pleasant.docx
53,Wisconsin data centers; Assembly passes bill to place restrictions,2026-01-20,FOX6 News Milwaukee,Wisconsin,Wisconsin Legislature; Microsoft,News,policy debate,regulation,energy pricing,lawmakers; PSC; utilities,Shannon Zimmerman; Greta Neubauer,water reporting; ratepayer protection,implementation difficulty; legal confusion,1,0,1,0,0,mixed,legislative reporting,“The Assembly passed the bill 53–44.”,Tracks GOP bill after Assembly passage.,55. Wisconsin data centers.docx
54,At least four Wisconsin communities signed secrecy deals for billion-dollar data centers,2026-01-26,Wisconsin Watch,Wisconsin,Meta; Microsoft; Viridian; QTS,Investigative,multiple,transparency,transparency claims,local governments; residents; Wisconsin Data Center Coalition,Prescott Balch; Trent Campbell; Tricia Braun,due diligence before disclosure (industry view),NDAs; delayed public notice; secrecy,1,1,0,0,0,conflict,investigative reporting,"“Even if it makes it harder, that’s the right way to do it.”",Major investigative synthesis of NDAs across Wisconsin.,56. At least four Wisconsin communities signed secrecy deals for billion.docx
55,"Wisconsin PSC hearing public input on data center energy rates, Microsoft says it will ‘pay its own way’",2026-02-10,Racine County Eye / WRJN,"Mount Pleasant, WI/ Port Washington, WI",Microsoft; PSC,News,policy debate,energy pricing,governance,PSC; advocacy groups; Microsoft; residents,Bobby Hollis,special rate class; resident participation,ratepayer exposure; infrastructure cost shifting,1,0,1,0,0,mixed,news report,“Microsoft ... supports the creation of a special rate class for large customers.”,Hearing-focused update on tariff design.,57. Wisconsin PSC hearing public input.docx
56,Wisconsin couple has near-constant layer of dust from data center construction,2026-02-10,WISN,"Port Washington, WI",Vantage / OpenAI / Oracle,News,construction,local environmental impact,community nuisance,resident; developer; DNR,Mary Deheck,none emphasized,dust; noise; health concerns; extra household costs,0,0,0,1,1,negative,local TV report,"“It's blowing in the windows, blowing in every crack and crevice.”",Captures immediate lived impacts of construction stage.,58. Wisconsin couple has near.docx
57,New bill would ban nondisclosure agreements for new Wisconsin data centers,2026-02-19,Wisconsin Public Radio,"Port Washington, WI",Wisconsin Legislature,News,policy debate,transparency,governance reform,lawmakers; industry groups; constituents,Clint Moses; André Jacque,public notice; informed decision-making,lack of public information; gag orders,1,1,0,1,1,mixed,legislative reporting,“If your strategy is to say you can’t talk about something ... that’s not a development strategy. It’s a gag order.”,Tracks proposed NDA ban and opposition from industry groups.,59. New bill would ban nondisclosure agreements.docx
58,A 600-acre AI data center could cost some Wisconsin residents their land,2026-02-18,ABC News,"Port Washington, WI / Saukville",Vantage; OpenAI; Oracle; ATC,Feature,conflict,land rights conflict,energy pricing,residents; mayor; industry group; ATC; WILL,Tom Uttech; Ted Neitzke; Ari Peskoe,jobs; tax base; long-term investment,eminent domain; transmission lines; higher bills,0,0,1,0,1,conflict,reported feature,“They brought the fight to me and I'm not going to just roll over.”,National feature on eminent domain and anti-AI activism in Port Washington.,60. A 600-acre AI data center could cost some Wisconsin residents t.docx
59,Port Washington city statement on data center process and open meetings compliance,2026-02-19,City of Port Washington,"Port Washington, WI",Vantage / City of Port Washington,Statement,litigation,governance dispute,transparency claims,city officials; complainants,Mayor Ted Neitzke (via city statement),public communication; compliance claims,open meetings allegations; public trust,1,1,0,0,0,mixed,official statement,“The City has been in compliance with all open meetings requirements...”,Official rebuttal to activist complaint; useful for coding governance claims.,61-Port Washington.pdf
60,A 600-acre AI data center could cost some Wisconsin residents their land (duplicate file copy),2026-02-18,ABC News,"Port Washington / Saukville, WI",Vantage; OpenAI; Oracle; ATC,Feature,conflict,land rights conflict,infrastructure expansion,residents; mayor; ATC; WILL,Tom Uttech; Ted Neitzke,jobs; tax base,eminent domain; transmission lines; grid costs,1,0,1,0,1,conflict,reported feature,“The use of eminent domain power must be the absolute last resort...”,Duplicate file copy retained as separate uploaded item in source set.,62. A 600-acre AI data center could cost some Wisconsin residents their land.docx
61,"Port Washington data center, group claims open meetings violations",2026-02-19,FOX6 News Milwaukee,"Port Washington, WI",Vantage / Great Lakes Neighbors United,News,litigation,governance dispute,transparency claims,grassroots group; city officials; district attorney,Great Lakes Neighbors United statement; city statement,public oversight,closed-session deliberations; legal compliance dispute,1,1,0,0,0,conflict,news report,“The city has since denied [the] assertion.”,Open-meetings complaint framed as another front in Port Washington conflict.,62. Port Washington data center.docx
62,At least four Wisconsin communities signed secrecy deals for billion-dollar data centers (WPR republication),2026-01-26,Wisconsin Public Radio / Wisconsin Watch,Wisconsin,Meta; Microsoft; Viridian; QTS,Investigative,multiple,transparency,transparency claims,local governments; residents; data center coalition,Prescott Balch; Trent Campbell,early due diligence before disclosure,NDAs; delayed public notice; secrecy,1,1,0,0,0,conflict,investigative reporting,“The earlier the better.”,Republication of Wisconsin Watch investigation; kept as separate media item in set.,63. At least 4 Wisconsin communities signed secrecy deals for billion.docx
63,"Data centers threaten Wisconsin's rural charm, residents say",2026-01-07,The Cap Times,"DeForest / Vienna, WI",QTS,Feature,proposal,land use conflict,community identity,residents; village officials; farmers; unions; Clean Wisconsin,Shawn Haney; Trish Boehlke; Nancy Roth; Bill Chang,jobs; community investment,farmland conversion; water and electricity use; noise/light; identity loss,1,0,1,1,1,conflict,reported feature,“We’re not going to be a farming community anymore. We’re going to be a data center community.”,"Rich narrative on rural identity, annexation, and social cohesion.",64. Data centers threaten Wisconsin Rural.docx
,,,,,,,,,,,,,,39,19,37,31,21,,,,,
